epoch,lr_backbone,lr_head,loss,cls_loss,box_loss,dfl_loss,map50,map,num_pos_avg,epoch_seconds
1,0.00018112337960296142,0.0009056168980148072,7.057201873779297,4.966865505218506,0.49203079199790956,1.7205187330245972,0.0,nan,,119.9013521999999
2,0.0005215109839511726,0.002607554919755863,3.8781318435668943,2.271532557487488,0.3825896410942078,1.3002503681182862,0.0,nan,,133.3260176000001
3,0.0008610101084589034,0.004305050542294517,4.032981874465943,2.2500289754867553,0.42588719773292544,1.4364698209762574,0.0,nan,,145.16775960000018
4,0.0009999998781535244,0.004999999390767622,3.7374248447418212,2.0301591539382935,0.4083756580352783,1.3726531114578246,0.0,nan,,124.55313750000005
5,0.000998066812304368,0.00499033406152184,3.5840392360687257,1.929238657951355,0.3956859257221222,1.3311715459823608,0.0,nan,,133.42193120000002
6,0.000992343172493819,0.0049617158624690955,3.4793247375488283,1.8747444705963134,0.38272949051856997,1.295513063430786,0.0,nan,,139.67462449999994
7,0.000982872519076864,0.004914362595384321,3.397846538543701,1.835122158050537,0.37158565735816956,1.2675204792022705,0.0,nan,,140.3997813000001
8,0.0009697269294445432,0.0048486346472227165,3.35453715133667,1.810590865135193,0.36698801326751707,1.2529525184631347,0.0,nan,,133.40765190000002
9,0.0009530064494714823,0.004765032247357412,3.270982894897461,1.7627209920883178,0.3579703330993652,1.2266721334457398,0.0,nan,,135.11986860000002
10,0.0009328383321063783,0.004664191660531892,3.236610456466675,1.7380366115570067,0.3561813933849335,1.2162406940460204,0.4568731486797333,0.2499341368675232,,223.2935169
11,0.0009093760689002215,0.004546880344501108,3.189081283569336,1.7165897150039673,0.3487439312934876,1.2012635145187378,0.4568731486797333,nan,,131.32297019999987
12,0.000882798221842913,0.004413991109214566,3.1716191482543947,1.7058775806427002,0.3481206693649292,1.1908797988891602,0.4568731486797333,nan,,128.48903960000007
13,0.0008533070643987018,0.00426653532199351,3.1033830947875978,1.6676709051132201,0.3397976653575897,1.1724360246658325,0.4568731486797333,nan,,128.43503759999976
14,0.0008211270420829858,0.004105635210414929,3.059974006652832,1.648453353881836,0.3319705126285553,1.1631887445449829,0.4568731486797333,nan,,121.1824631999998
15,0.0007865030642964164,0.003932515321482082,3.0560116214752195,1.642816349029541,0.33346064877510073,1.159087282180786,0.4568731486797333,nan,,120.38926050000009
16,0.0007496986404164789,0.003748493202082395,3.012429800033569,1.6159357976913453,0.3294036283493042,1.1459698791503907,0.4568731486797333,nan,,121.11290489999965
17,0.0007109938743320182,0.0035549693716600914,2.9855843658447268,1.5907765045166016,0.3291400592327118,1.1439154052734375,0.4568731486797333,nan,,129.50607499999978
18,0.0006706833326835137,0.0033534166634175693,2.892378168106079,1.537963872909546,0.31769112205505373,1.1203729677200318,0.4568731486797333,nan,,129.49974470000006
19,0.0006290738030330815,0.003145369015165408,2.8677111778259277,1.5125088195800782,0.31886886167526246,1.116060401916504,0.4568731486797333,nan,,123.78493870000011
20,0.0005864819590258821,0.0029324097951294106,2.8378429565429686,1.4907124967575074,0.31747234356403353,1.1068991947174072,0.532347559928894,0.32204729318618774,,160.86211259999982
21,0.0005432319503124685,0.002716159751562343,2.836170780181885,1.499815076828003,0.31357598781585694,1.1048314995765687,0.532347559928894,nan,,121.32881069999985
22,0.0004996529355742195,0.002498264677871098,2.8094844932556153,1.4847544212341308,0.31031806099414827,1.0978698444366455,0.532347559928894,nan,,128.56038910000007
23,0.00045607657742702154,0.0022803828871351076,2.809276508331299,1.4886462593078613,0.30895959663391115,1.0964625124931335,0.532347559928894,nan,,134.2344836000002
24,0.0004128345182684991,0.0020641725913424953,2.8046005039215087,1.4770909118652344,0.3115462577342987,1.0972878608703613,0.532347559928894,nan,,128.39688380000007
25,0.00037025585627911814,0.0018512792813955908,2.7883511600494386,1.4696973180770874,0.30822986698150634,1.096158326148987,0.532347559928894,nan,,120.60259739999992
26,0.00032866464078631664,0.0016433232039315836,2.73618145942688,1.437316831588745,0.3032173804044723,1.0816423387527465,0.532347559928894,nan,,120.25627809999969
27,0.0002883774060534572,0.0014418870302672863,2.75757816696167,1.4468063592910767,0.30657685971260074,1.0886593103408813,0.532347559928894,nan,,121.50744099999974
28,0.0002497007622629545,0.001248503811314773,2.7199352741241456,1.4212640724182128,0.30388463878631594,1.0779192152023316,0.532347559928894,nan,,123.93943200000012
29,0.00021292906202765024,0.0010646453101382514,2.703908166885376,1.406927243232727,0.30363372242450715,1.075793242454529,0.532347559928894,nan,,126.65985369999999
30,0.00017834216018969482,0.0008917108009484742,2.698744785308838,1.4148792190551758,0.2989336625337601,1.0730628247261047,0.5527313947677612,0.3459705412387848,,162.72096730000067
31,0.00014620328395621745,0.0007310164197810872,2.68991760635376,1.434411644935608,0.2915915095806122,1.0530543642044068,0.5527313947677612,nan,,128.7388973999996
32,0.00011675702958133874,0.0005837851479066938,2.6771773929595946,1.4117805738449096,0.2938606631755829,1.0614903030395508,0.5527313947677612,nan,,144.78201249999984
33,9.022750084098609e-05,0.00045113750420493047,2.616269786834717,1.3725825119018555,0.2899270980358124,1.0377390604019165,0.5527313947677612,nan,,122.55323159999989
34,6.681660346784119e-05,0.00033408301733920596,2.6183025188446045,1.3935057382583618,0.2816994645595551,1.0410962495803833,0.5527313947677612,nan,,117.9207465999998
35,4.6702508526799874e-05,0.00023351254263399938,2.6023754177093505,1.3698225317001342,0.2858601702451706,1.0358049049377442,0.5527313947677612,nan,,117.72756490000029
36,3.0038296425586032e-05,0.00015019148212793018,2.6125159740447996,1.3740182723999024,0.2878825912475586,1.0375824666023254,0.5527313947677612,nan,,123.35906410000007
37,1.69507918804163e-05,8.475395940208152e-05,2.6235965423583982,1.3790847692489625,0.29011380910873413,1.0384545049667357,0.5527313947677612,nan,,132.3364348999994
38,7.5395987033306925e-06,3.769799351665347e-05,2.5497354764938356,1.3482759566307068,0.27601584362983705,1.0228398418426514,0.5527313947677612,nan,,128.71583380000084
39,1.8763417570407132e-06,9.381708785203566e-06,2.6189263610839846,1.3789135971069335,0.2874776735305786,1.0426371984481813,0.5527313947677612,nan,,126.54176220000045
1,5.7799702073056355e-05,0.0002889985103652808,10.99193000793457,8.38776683807373,0.6046095490455627,2.185277223587036,3.339016257086769e-05,8.723365681362338e-06,,20.878682599999593
1,7.089257102222044e-09,3.544628551111022e-08,1.844425031745862,0.24600635814602723,0.3563624188759136,1.415025252630023,0.12261023372411728,0.05798046290874481,,541.9290829000092
